time,AIR-pickup,RCCS-EnergyBalance,RCCS-InletTemp,RCCS-OutletTemp,RV-surface,T_core,Ts_core,air_T_in,air_T_out,air_flow,diode:VC:DP,diode:VC:P1,diode:VC:P2,efr_OutAns,efr_dfCht,efr_inltAns,efr_inltCht,imfr_CtrlRd,imfr_DCPipe,imfr_inltAns,imfr_inltCht,omfr_CtrlRd,omfr_DiodePipe,omfr_ExtPipe,omfr_OutAns,omfr_dfCht,omfr_uhPipe,rccs_Qwall,rho_up,vessel_Qwall,water_flow,HX-J:pressure,HX-J:rho,HX-J:temperature,HX-J:velocity,IHX_inlet:pressure,IHX_inlet:rho,IHX_inlet:temperature,IHX_inlet:velocity,IHX_outlet:pressure,IHX_outlet:rho,IHX_outlet:temperature,IHX_outlet:velocity,RCCS-inlet:pressure,RCCS-inlet:rho,RCCS-inlet:temperature,RCCS-inlet:velocity,Tank-branch:pressure,Tank-branch:rho,Tank-branch:temperature,Tank-branch:velocity,chimney-J:pressure,chimney-J:rho,chimney-J:temperature,chimney-J:velocity,cold_leg_chain:0:junction:pressure,cold_leg_chain:0:junction:rho,cold_leg_chain:0:junction:temperature,cold_leg_chain:0:junction:velocity,cold_leg_chain:1:junction:pressure,cold_leg_chain:1:junction:rho,cold_leg_chain:1:junction:temperature,cold_leg_chain:1:junction:velocity,diode:pressure,diode:rho,diode:temperature,diode:velocity,downcomer_branch:pressure,downcomer_branch:rho,downcomer_branch:temperature,downcomer_branch:velocity,downcomer_top_jun:pressure,downcomer_top_jun:rho,downcomer_top_jun:temperature,downcomer_top_jun:velocity,hot_leg_jun:pressure,hot_leg_jun:rho,hot_leg_jun:temperature,hot_leg_jun:velocity,inlet_plenum:pressure,inlet_plenum:rho,inlet_plenum:temperature,inlet_plenum:velocity,outlet_plenum:pressure,outlet_plenum:rho,outlet_plenum:temperature,outlet_plenum:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity,riser-chain:0:junction:pressure,riser-chain:0:junction:rho,riser-chain:0:junction:temperature,riser-chain:0:junction:velocity,riser-chain:1:junction:pressure,riser-chain:1:junction:rho,riser-chain:1:junction:temperature,riser-chain:1:junction:velocity
0,0,0,325.5,325.5,823.15,823.15,823.15,307,307,163.01021002292,0,0,0,13571.703002915,785.39947933534,-14954.006086545,-3141.5979173414,4.2718984832751e-05,0.0011659249558643,-0.0075200579809132,-0.0015798441136372,4.2718984832751e-05,0.00010148508885032,0.00094775917110044,0.0068249265709129,0.00039496102840931,0.0068249265709129,0,823.15,3.628544794249e-10,-116.76972865337,70973.16310395,986.96739932476,328.70098036763,0.22067226926104,367531.95379574,2011.52,918.88381057779,1.84350323808,325558.1035953,2011.52,821.84152342232,1.8001159458173,490096.50704624,988.1151896544,325.9287568966,0.1309884544541,99983.425960085,988.1151896544,325.96046101934,0.18328457120214,101402.30777652,1.1368033721947,311.47698639014,2.5871829428245,189290.53882361,2011.52,821.84152122299,1.3972163989569,189168.15868464,2011.52,821.84152061491,1.3972163989564,-3104984.9140467,2011.52,823.15000138356,-1.1630305303103e-320,232504.14658857,2011.52,821.7461420276,1.1357455029981,197592.47027981,2011.52,821.84152047987,1.1357717745515,205560.70596065,2011.52,918.88381906736,1.430892805405,365689.55983964,2011.52,821.4311816357,0.0066128362701577,121193.14919446,2011.52,918.88382828327,0.19870423169595,205929.49889101,144000,2011.52,918.88382602973,1.4308928054232,405392.6387335,958.372729,328.72481252655,0.18352720201658,70974.950303023,958.372729,328.70231249491,0.22067226933373
0.01,1472138.9491203,1509748.4677452,325.93117778051,328.72491766132,798.37418493442,892.59472863494,923.02774367509,303.15075759749,311.47678673235,173.19766610332,-97984.207632905,138566.12067688,236550.32830978,2546445324.3921,104960496.27934,-1931246389.1171,-406106096.2234,146.27372224309,1324.1390725977,-973.21572902817,-204.64962043478,146.27372307522,6.9223248165451e-16,1324.1484099199,1134.6205364582,43.954381996883,0.7766230707804,1513827.8930199,918.88408390047,1522474.4433303,-129.25702519095,70973.166207759,985.43940871024,328.70098249109,0.22067227309959,368624.87782104,1964.8018986309,918.88381428091,1.842812262424,327159.64564964,2012.1578675539,821.8428943567,1.7994283179147,490096.51673264,986.76648810272,325.92875798039,0.1309884553534,99983.425940016,986.75158683435,325.96046230117,0.18328457300862,101402.30490473,1.1332372165299,311.47710463243,2.5871831528394,191633.06178602,2012.1585375688,821.84152137536,1.3966827362041,191725.52516268,2012.1585376968,821.84152111306,1.3966827470293,-3104984.9140467,2011.5199993248,823.15000138356,6.4358784485575e-317,235253.5263444,2012.2050592135,821.74619013632,1.1353117168923,200184.3325223,2012.1585360234,821.84152454215,1.1353379718409,205756.59451563,1964.8018967386,918.88381815867,1.4303564712558,369025.07999439,2012.3587826193,821.43118315713,0.0066164923380474,121197.76974826,1964.8017670566,918.88408390047,0.19873478835511,205445.96493361,144000,1964.8018944297,918.88382289003,1.430356460206,405392.63047006,985.42773776315,328.72491606402,0.18352720298276,70974.952637516,985.43875911939,328.70231460491,0.22067227363107
0.0225,1472123.8930038,1509776.5027945,325.93123841108,328.7250404031,798.37417152033,892.5978106159,923.05498088183,303.15064736978,311.4767873715,173.20012578062,-96149.223554972,138561.82212256,234711.04567753,2545774068.6069,105038012.05357,-1930719453.189,-405993821.68599,146.30637360986,1323.8494044597,-972.95020696895,-204.59304545,146.30637707836,9.4795655090482e-13,1323.8645060894,1134.3327952462,43.986846441839,0.83428919067614,1513825.7902724,918.88444392908,1522447.6055491,-129.25706706011,70973.169119261,985.43940221617,328.70099580846,0.2206723507017,367653.90397061,1964.8018955646,918.88382056429,1.8424172884892,325943.70006566,2012.1571927174,821.8442772185,1.7990349910369,490096.41537524,986.76647776016,325.92877998547,0.13098846201237,99983.411276349,986.75159778979,325.96043899209,0.18328463106957,101402.35085588,1.1332323332517,311.47844683677,2.5872457229174,190014.78951777,2012.1585057463,821.84158658542,1.3963777416575,189990.79996933,2012.1584279904,821.84174592128,1.3963775101001,-3104984.9140467,2011.5199993248,823.15000138356,-1.1022884693939e-316,233414.77091117,2012.2050291095,821.74625182471,1.1350636227715,198430.44798729,2012.1585749472,821.84144478034,1.1350897902605,205270.99989827,1964.8018983339,918.88381488957,1.430049870543,366870.06576225,2012.3587812664,821.43118592954,0.006617973719792,121193.43388859,1964.8015913626,918.88444392908,0.19870136118259,205328.97378763,144000,1964.8018789016,918.88385470976,1.4300499753493,405392.84539987,985.42767954446,328.7250354529,0.18352724088397,70974.956996543,985.43876076309,328.70231123419,0.22067236533171
0.038125,1472171.4235479,1509815.4588173,325.93131660345,328.72518706163,798.37406842557,892.60166000746,923.06803104543,303.15076707308,311.47688258178,173.20084549716,-95932.976425351,138561.50463221,234494.48105756,2545485726.7682,104596036.84254,-1930169696.3491,-405876667.20518,146.3358284949,1323.5430281327,-972.67314264389,-204.53400245742,146.33583089106,4.9630807282525e-15,1323.5630979175,1134.1959697576,43.801761620745,0.84072554775047,1513825.9015615,918.88480837002,1522407.3207591,-129.25707132476,70973.164727925,985.43940264183,328.70099493556,0.22067235380664,367533.66906508,1964.8018948313,918.88382206701,1.8419980410828,325807.0384586,2012.1566104557,821.84547037773,1.7986183368834,490096.50599827,986.76647735211,325.92878085366,0.13098850512668,99983.427060734,986.75158194515,325.96047270356,0.18328463836541,101402.30621027,1.1332381163149,311.47685732128,2.5872240535316,189827.30962528,2012.1585374113,821.84152169825,1.3960540317352,189788.42278521,2012.1585338141,821.84152906956,1.3960540581289,-3104984.9140467,2011.5199993248,823.15000138356,-4.5254486303039e-318,233198.85004089,2012.2050243784,821.74626151964,1.1348006847308,198225.35520023,2012.1585214387,821.84155442888,1.1348269509582,205211.63240439,1964.8018894622,918.88383306935,1.4297244753673,366613.80464511,2012.3587818012,821.43118483363,0.0066193035629264,121193.18677124,1964.8014135154,918.88480837002,0.19865755881892,205316.12227785,144000,1964.8018950936,918.88382152955,1.4297244781691,405392.6507576,985.4276065901,328.72518506017,0.18352727207226,70974.950231744,985.43875872219,328.70231541947,0.22067234922676
0.05765625,1472508.6938708,1509845.1925268,325.93141195589,328.72534551998,798.37379435923,892.60631750315,923.07791780869,303.16069296035,311.47788879055,173.19479521527,-95847.265329305,138561.43979951,234408.70512882,2545142709.2343,104095061.702,-1929551347.7721,-405742560.32482,146.36584204475,1323.1932103548,-972.36153555587,-204.46642140585,146.36583032386,-5.6835227193943e-12,1323.2184840216,1134.027931099,43.591971476024,0.83665626954407,1513828.5949751,918.88527195015,1522359.2827977,-129.25706071581,70973.177374421,985.43940359004,328.70099299108,0.22067235213043,367480.52593363,1964.8018830036,918.88384630401,1.8415158668915,325758.46817674,2012.1562160508,821.84627858441,1.7981386402188,490096.58916401,986.76647066999,325.92879507071,0.13098849909933,99983.434737138,986.75157373728,325.96049016682,0.1832846645571,101402.28638052,1.1332356977491,311.47752207907,2.5872220215624,189755.62514236,2012.1574179847,821.84381560508,1.3956787530657,189709.93522077,2012.1563324705,821.84604001944,1.3956856520086,-3104984.9140467,2011.5199993248,823.15000138356,5.7751657449447e-316,233113.69213802,2012.2052373955,821.74582500916,1.1345086211881,198145.33720241,2012.1565102911,821.84567563307,1.1345330789359,205185.32136477,1964.8029857465,918.88158658503,1.4293432179944,366509.79215432,2012.3587912,821.43116557381,0.0066206664141191,121193.18202956,1964.8011872883,918.88527195015,0.19860549313207,205311.15768924,144000,1964.8041361869,918.87922912514,1.4293472046644,405392.60277254,985.42752729198,328.72534767657,0.18352727221874,70974.969206269,985.4387556379,328.70232174441,0.22067233815665
0.0820703125,1471790.7117245,1509883.1101264,325.93153178539,328.72553617267,798.37325423434,892.6118588021,923.08815142631,303.15279083458,311.47584602538,173.20195406661,-95766.508266332,138561.42999899,234327.93826532,2544628347.5392,103630113.97222,-1928839193.5317,-405591578.03572,146.39545315105,1322.7885570423,-972.00268710316,-204.39034266785,146.39545415009,9.7566259430856e-16,1322.821747443,1133.7850201359,43.39726701629,0.82311627504246,1513820.689278,918.88582349168,1522312.1371329,-129.25707566394,70973.158382262,985.43939227504,328.70101619471,0.22067236192323,367428.90595269,1964.8019304212,918.88374913688,1.8409667367239,325713.5673459,2012.1565382943,821.84561824939,1.7975932231563,490096.52908694,986.76646891375,325.92879880732,0.13098851337497,99983.425415062,986.75157358395,325.96049049306,0.18328464697265,101402.30858798,1.1332417090114,311.47586985161,2.5872400846731,189687.04276506,2012.1585282157,821.84154054161,1.395258280095,189634.93238576,2012.158563692,821.84146784429,1.3952582719388,-3104984.9140467,2011.5199993248,823.15000138356,4.9093905021467e-317,233033.78568383,2012.2049472071,821.74641965759,1.1341537770381,198069.11421389,2012.1583954868,821.841812527,1.1341800462996,205161.29166173,1964.8019274974,918.88375512837,1.4289240092954,366415.56678428,2012.3587912506,821.43116547003,0.0066220017729921,121193.16494273,1964.8009181361,918.88582349168,0.19854423207721,205307.72252831,144000,1964.8018732041,918.8838663851,1.4289240112552,405392.64101819,985.42743508168,328.72553677193,0.18352727986768,70974.943695634,985.43874871633,328.70233593844,0.22067236321251
0.112587890625,1472169.7170693,1509921.6963593,325.93166705287,328.7257489378,798.37235618367,892.61833902637,923.09949180566,303.15079114624,311.47720380353,173.20536446923,-95685.701704695,138561.42269632,234247.12440102,2543941425.1671,103226159.3155,-1928052080.522,-405425787.94135,146.42250827865,1322.3354876878,-971.60603672334,-204.30679595568,146.42251212761,-1.917136793184e-15,1322.3762388172,1133.4681669944,43.228105136818,0.80757893216106,1513815.2676757,918.88649560241,1522264.6015495,-129.25707664293,70973.171359452,985.43938977945,328.7010213124,0.22067236364274,367375.93365832,1964.8019294252,918.88375117788,1.8403469839532,325670.47156994,2012.1573776383,821.84389828224,1.796977567725,490096.51938412,986.76646586104,325.92880530236,0.13098851335595,99983.427088292,986.75157348158,325.96049071086,0.18328464805776,101402.3214644,1.1332361217031,311.47740555249,2.5872943219594,189620.56720177,2012.1585348552,821.8415269361,1.3947803815856,189561.59567078,2012.1585569295,821.84148170182,1.394780368327,-3104984.9140467,2011.5199993248,823.15000138356,2.6388658291716e-316,232953.86169803,2012.2049063725,821.746503335,1.1337653810843,197994.23063169,2012.1584935275,821.84161162399,1.13379160035,205135.40915626,1964.8019362781,918.88373713499,1.4284429678633,366316.85246927,2012.3587949603,821.43115786817,0.0066232257425042,121193.19,1964.800590146,918.88649560241,0.19847541945809,205303.49070591,144000,1964.8018852783,918.88384164279,1.4284430267004,405392.63082642,985.42733174914,328.72574867562,0.18352728458078,70974.951812983,985.43874763783,328.70233815012,0.22067236989245
0.15073486328125,1472448.1461222,1509978.2918064,325.93179467898,328.72600143527,798.37103819096,892.62577812259,923.11198447731,303.14983161436,311.4770474414,173.24975438001,-95600.219634755,138561.47140957,234161.69104433,2543117973.3913,102879672.80273,-1927211599.3022,-405248955.45863,146.44381892957,1321.8439407779,-971.18240771239,-204.21766682379,146.44385273407,-2.9035851136809e-12,1321.8850740227,1133.0923652825,43.083011676311,0.80146392134719,1513812.5879101,918.88727168952,1522214.8225655,-129.25668183225,70973.25509997,985.43935423265,328.7010942081,0.22067173806982,367319.60250914,1964.8021584152,918.88328193614,1.8396623673934,325625.37862721,2012.1587945978,821.84099467657,1.7962967151132,490096.96823561,986.76646643853,325.92880407368,0.13098803243391,99983.451531127,986.75153124968,325.96058056452,0.18328407894151,101402.38098803,1.1332158483399,311.48297791946,2.5880979396584,189550.64473081,2012.1573494367,821.84395607243,1.3942436060998,189484.49171216,2012.1546342458,821.84951998811,1.3942526358062,-3104984.9140467,2011.5199993248,823.15000138356,-3.2605312204603e-315,232869.18370026,2012.2025391081,821.75135428673,1.1333645922414,197915.26439715,2012.1539883533,821.85084353831,1.1333767892441,205108.00443001,1964.8029690327,918.88162083459,1.4279029647382,366210.79860612,2012.3587903561,821.43116730302,0.0066241561391041,121193.22039324,1964.8002114155,918.88727168952,0.19840125392959,205299.11616317,144000,1964.8031947403,918.88115831914,1.4279121556912,405392.47805179,985.42722925146,328.72595886727,0.18352680270654,70974.994072997,985.43875247665,328.70232822716,0.22067164584032
0.19841857910156,1472501.3427231,1510021.3291399,325.93197847982,328.72626774644,798.36913567094,892.63405034558,923.12560377653,303.15062492532,311.47714920214,173.24938762971,-95498.931575919,138561.40264167,234060.33421758,2542162367.918,102571179.53281,-1926311358.9192,-405057642.87604,146.45494589386,1321.3049938574,-970.72882800495,-204.12127516298,146.45494527621,-7.1942892694379e-15,1321.361782356,1132.6578119207,42.953827056013,0.76572366982144,1513789.3287591,918.88825091337,1522183.0179064,-129.25665522738,70973.169145702,985.43935275856,328.70109723101,0.22067165469965,367254.31214635,1964.8020017158,918.88360304135,1.8389360237582,325569.92361236,2012.1615862908,821.83527399423,1.7955774972421,490096.48145256,986.76646299144,325.92881140779,0.13098809161556,99983.423628049,986.75154261102,325.96055639186,0.18328401746358,101402.30116518,1.1332399697339,311.47634789948,2.5879280999588,189465.17814253,2012.158447066,821.84170683189,1.393693661161,189390.54025712,2012.1585820852,821.84143015333,1.3936936887407,-3104984.9140467,2011.5199993248,823.15000138356,3.5258087710935e-316,232769.0826803,2012.2047484079,821.74682703298,1.132881981648,197819.78994586,2012.1587552747,821.84107525668,1.1329082376635,205077.10646423,1964.8019286392,918.88375278862,1.427347821784,366093.7808709,2012.3587880583,821.43117201171,0.0066246866256897,121193.22423252,1964.7997335543,918.88825091337,0.19831767121692,205294.41763313,144000,1964.8018847028,918.88384282206,1.4273478043567,405392.60007249,985.42707867567,328.72626765257,0.18352668698093,70974.950222025,985.43875887964,328.70231509657,0.2206716506002
0.25802322387695,1472533.1953604,1509877.6764246,325.93230573699,328.72632635476,798.36670493737,892.64293844742,923.13920446727,303.15029075699,311.47679844525,173.26084153071,-95408.403735748,138561.45844558,233969.86218133,2541241978.7627,102282518.85443,-1925447770.663,-404878413.38126,146.45216674803,1320.7761501767,-970.29362887299,-204.03095371253,146.45218075571,-1.6690075568759e-12,1320.8226428872,1132.2375723766,42.83294807865,0.76252714259197,1513789.1819831,918.88946305511,1522182.7023248,-129.25685908963,70973.060481778,985.43932915513,328.7011456345,0.22067194189489,367193.70249222,1964.8019423828,918.88372462549,1.8381774247118,325522.68958338,2012.1650627759,821.82815004943,1.7948242936938,490096.30777518,986.76644082905,325.92885856105,0.13098817671854,99983.389367607,986.75153037689,325.9605824215,0.18328429220108,101402.28993177,1.1332286234144,311.47946652011,2.5881858278594,189392.40459517,2012.1565891111,821.84551411662,1.3930827047671,189310.35877994,2012.1481794886,821.86274694967,1.3931004073524,-3104984.9140467,2011.5199993248,823.15000138356,-7.3181523713131e-316,232680.09420609,2012.1944201194,821.76799155851,1.1324858925666,197737.66067516,2012.1439054291,821.87150526815,1.1324635645724,205047.07150907,1964.8067772417,918.87381712758,1.4267365519931,365977.92834745,2012.358777575,821.43119349391,0.0066245418041976,121193.28118749,1964.7991420291,918.88946305511,0.19823649151569,205289.27609765,144000,1964.8067887851,918.87379347311,1.4267614187973,405392.90232808,985.42702224145,328.72638338203,0.18352685185777,70974.817307655,985.43871725876,328.70240044837,0.22067186638145
