time,Tsolid_core,Tsolid_ref,Tsolid_ss316,UnscaledTotalPower,decay_heat,decay_heat2,dt,dt_max_pp,power_scaling,power_scaling2,prompt_power,total_power,total_power2
0,923.16672551777,849.55406811114,811.57184390816,1.8822796726092e-10,20219848.567884,20219848.567884,0,0,1.7000661732505e+18,1.592691e+18,299788989.40476,320000000,320008837.97265
0.05,923.16672551777,849.55406811114,811.57184390816,1.8822796726092e-10,20219946.014626,20219946.014626,0.05,5,1.7000661732505e+18,1.592691e+18,299758228.98898,319967111.40718,319978175.0036
0.1125,923.16933752726,849.55411174538,811.57184710003,1.8822796726092e-10,20220040.619949,20220040.619949,0.0625,5,1.7000661732505e+18,1.592691e+18,299743835.63599,319951733.31917,319963876.25594
0.190625,923.17374166229,849.55415667012,811.57185644806,1.8822796726092e-10,20220139.509171,20220139.509171,0.078125,5,1.7000661732505e+18,1.592691e+18,299733611.98267,319940804.34416,319953751.49184
0.28828125,923.18118403357,849.55421104533,811.57187882763,1.8822796726092e-10,20220244.290947,20220244.290947,0.09765625,5,1.7000661732505e+18,1.592691e+18,299717886.11174,319923987.38715,319938130.40268
0.4103515625,923.19386970218,849.55431674792,811.57192711389,1.8822796726092e-10,20220347.804582,20220347.804582,0.1220703125,5,1.7000661732505e+18,1.592691e+18,299685278.86859,319889115.76615,319905626.67317
0.562939453125,923.21544260776,849.55455868027,811.57202320585,1.8822796726092e-10,20220425.127149,20220425.127149,0.152587890625,5,1.7000661732505e+18,1.592691e+18,299618805.57926,319818021.81957,319839230.70641
0.75367431640625,923.25181325693,849.55506627917,811.57220369992,1.8822796726092e-10,20220414.192352,20220414.192352,0.19073486328125,5,1.7000661732505e+18,1.592691e+18,299489792.41905,319680033.47964,319710206.6114
0.99209289550781,923.31238105626,849.55599292306,811.57252592456,1.8822796726092e-10,20220174.834559,20220174.834559,0.23841857910156,5,1.7000661732505e+18,1.592691e+18,299249402.17242,319422917.4697,319469577.00698
1.2901161193848,923.41177061371,849.55747693145,811.5730743125,1.8822796726092e-10,20219407.200059,20219407.200059,0.29802322387695,5,1.7000661732505e+18,1.592691e+18,298817343.96048,318960809.66318,319036751.16053
1.662645149231,923.57228227022,849.55962037705,811.57396599008,1.8822796726092e-10,20217499.617474,20217499.617474,0.37252902984619,5,1.7000661732505e+18,1.592691e+18,298064668.37206,318155819.5843,318282167.98953
2.1283064365387,923.82748587511,849.56248813404,811.57534702998,1.8822796726092e-10,20213254.103487,20213254.103487,0.46566128730774,5,1.7000661732505e+18,1.592691e+18,296788705.18372,316791236.20135,317001959.2872
2.7103830456734,924.22772263865,849.56611479297,811.57737295858,1.8822796726092e-10,20204409.331002,20204409.331002,0.58207660913467,5,1.7000661732505e+18,1.592691e+18,294737144.0406,314597197.32533,314941553.37161
3.4379788070917,924.84933953942,849.57050868414,811.58017057932,1.8822796726092e-10,20187121.6032,20187121.6032,0.72759576141834,5,1.7000661732505e+18,1.592691e+18,291347570.78381,310972586.98985,311534692.38701
4.3474735088646,927.05662037138,849.58140866383,811.58770287586,1.8822796726092e-10,20093629.753946,20093629.753946,0.90949470177293,5,1.7000661732505e+18,1.592691e+18,283581925.79287,302699678.79488,303675555.54681
5.4843418860808,928.78372385862,849.58804513509,811.58974796734,1.8822796726092e-10,19957375.911338,19957375.911338,1.1368683772162,5,1.7000661732505e+18,1.592691e+18,275035836.66539,293576799.78384,294993212.57673
6.905427357601,931.01224011117,849.59591164549,811.58703063186,1.8822796726092e-10,19759059.440726,19759059.440726,1.4210854715202,5,1.7000661732505e+18,1.592691e+18,263562254.90967,281328976.18712,283321314.3504
8.6817841970013,934.53891441316,849.60762498306,811.57654576368,1.8822796726092e-10,19532457.231314,19532457.231314,1.7763568394003,5,1.7000661732505e+18,1.592691e+18,243268367.24929,259670973.62886,262800824.4806
10,936.28927113522,849.61470953609,811.56431963785,1.8822796726092e-10,19293250.710344,19293250.710344,1.3182158029987,5,1.7000661732505e+18,1.592691e+18,234650780.74232,250469170.5721,253944031.45266
